AD_ID,DATE,PLATFORM,CAMPAIGN_NAME,AD_GROUP,IMPRESSIONS,CLICKS,COST,CONVERSIONS,ctr
62,1/18/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,72345,261,92.7,7,0%
63,1/19/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,47890,967,138.4,15,2%
64,1/19/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,13890,634,235.8,40,5%
65,1/19/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,37234,1367,209.9,28,4%
66,1/19/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,70123,253,89.4,6,0%
67,1/20/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,43234,878,125.7,13,2%
68,1/20/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,11890,545,202.3,34,5%
69,1/20/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,34567,1234,189.6,24,4%
70,1/20/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,65234,234,81.2,5,0%
71,1/21/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,41567,823,118.9,12,2%
72,1/21/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,10234,467,178.4,30,5%
73,1/21/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,32890,1178,171.2,22,4%
74,1/21/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,62345,223,76.3,4,0%
75,1/22/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,45234,912,129.8,14,2%
76,1/22/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,12456,567,209.6,36,5%
77,1/22/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,35123,1267,194.5,26,4%
78,1/22/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,66789,245,84.7,5,0%
79,1/23/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,48567,989,140.3,15,2%
80,1/23/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,13789,623,229.8,38,5%
81,1/23/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,37456,1389,213.4,29,4%
82,1/23/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,71234,256,90.5,6,0%
83,1/24/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,51234,1067,149.7,17,2%
84,1/24/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,14890,712,251.6,43,5%
85,1/24/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,39234,1489,227.9,32,4%
86,1/24/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,74567,267,95.8,7,0%
87,1/25/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,52789,1123,156.4,18,2%
88,1/25/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,15678,756,268.9,47,5%
89,1/25/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,40567,1567,238.6,34,4%
90,1/25/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,76890,278,99.2,8,0%
91,1/26/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,50123,1034,147.5,17,2%
92,1/26/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,14234,689,254.7,44,5%
93,1/26/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,38890,1445,231.2,32,4%
94,1/26/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,73456,261,94.6,7,0%
95,1/27/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,46234,934,133.8,15,2%
96,1/27/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,12567,567,209.4,36,5%
97,1/27/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,35890,1289,197.8,27,4%
98,1/27/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,68234,245,85.9,5,0%
99,1/28/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,44567,890,127.6,13,2%
100,1/28/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,11456,523,192.3,33,5%
101,1/28/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,33567,1203,184.5,25,4%
102,1/28/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,65789,234,80.4,4,0%
103,1/29/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,47890,967,138.4,15,2%
104,1/29/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,13234,612,226.5,39,5%
105,1/29/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,36234,1334,203.7,28,4%
106,1/29/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,69567,253,88.7,6,0%
107,1/30/2024,Facebook,Brand_Awareness_Q1,Broad_Audience_18-35,49234,1001,142.8,16,2%
108,1/30/2024,Facebook,Conversions_Retargeting,Cart_Abandoners,14123,645,236.9,41,5%
109,1/30/2024,Facebook,Traffic_Drive_Jan,Lookalike_Purchasers,37890,1412,216.5,30,4%
110,1/30/2024,Facebook,Video_Views_Campaign,Video_Enthusiasts,72123,261,91.3,7,0%
201,1/1/2024,Google,Search_Brand_Terms,Brand_Exact,23456,1234,234.5,45,5%
202,1/1/2024,Google,Search_Generic_Terms,Product_Broad,45678,890,567.8,23,2%
203,1/1/2024,Google,Shopping_All_Products,Best_Sellers,67890,2345,423.6,67,3%
204,1/2/2024,Google,Search_Brand_Terms,Brand_Exact,24567,1289,245.6,48,5%
205,1/2/2024,Google,Search_Generic_Terms,Product_Broad,43234,823,534.2,21,2%
206,1/2/2024,Google,Shopping_All_Products,Best_Sellers,71234,2456,445.8,71,3%
207,1/3/2024,Google,Search_Brand_Terms,Brand_Exact,22345,1123,213.4,42,5%
208,1/3/2024,Google,Search_Generic_Terms,Product_Broad,47890,967,623.5,25,2%
209,1/3/2024,Google,Display_Remarketing,Cart_Abandoners,123456,456,123.4,12,0%
210,1/4/2024,Google,Search_Brand_Terms,Brand_Exact,25678,1345,256.7,50,5%
211,1/4/2024,Google,Shopping_All_Products,Best_Sellers,69456,2234,412.3,65,3%
212,1/4/2024,Google,Display_Remarketing,Cart_Abandoners,134567,489,134.5,14,0%
213,1/5/2024,Google,Search_Brand_Terms,Brand_Exact,23890,1234,234.9,46,5%
214,1/5/2024,Google,Search_Generic_Terms,Product_Broad,46234,912,589.3,24,2%
215,1/5/2024,Google,Display_Remarketing,Cart_Abandoners,128901,467,128.9,13,0%
216,1/6/2024,Google,Search_Brand_Terms,Brand_Exact,24234,1267,241.2,47,5%
217,1/6/2024,Google,Shopping_All_Products,Best_Sellers,72345,2378,432.9,69,3%
218,1/6/2024,Google,Display_Remarketing,Cart_Abandoners,131234,478,132.4,13,0%
219,1/7/2024,Google,Search_Brand_Terms,Brand_Exact,26789,1456,278.9,54,5%
220,1/7/2024,Google,Search_Generic_Terms,Product_Broad,44567,878,567.2,22,2%
221,1/7/2024,Google,Shopping_All_Products,Best_Sellers,70234,2289,419.5,66,3%
222,1/8/2024,Google,Search_Brand_Terms,Brand_Exact,22567,1134,216.8,43,5%
223,1/8/2024,Google,Search_Generic_Terms,Product_Broad,48234,989,634.7,26,2%
224,1/8/2024,Google,Display_Remarketing,Cart_Abandoners,125678,445,121.3,11,0%
225,1/9/2024,Google,Search_Brand_Terms,Brand_Exact,25234,1312,250.3,49,5%
226,1/9/2024,Google,Shopping_All_Products,Best_Sellers,73456,2423,441.8,70,3%
227,1/9/2024,Google,Display_Remarketing,Cart_Abandoners,129345,456,125.6,12,0%
228,1/10/2024,Google,Search_Brand_Terms,Brand_Exact,24678,1289,245.9,48,5%
229,1/10/2024,Google,Search_Generic_Terms,Product_Broad,45234,901,578.9,23,2%
230,1/10/2024,Google,Shopping_All_Products,Best_Sellers,68901,2267,414.2,64,3%
231,1/11/2024,Google,Search_Brand_Terms,Brand_Exact,26234,1378,263.4,52,5%
232,1/11/2024,Google,Search_Generic_Terms,Product_Broad,47890,934,612.5,26,2%
233,1/11/2024,Google,Shopping_All_Products,Best_Sellers,71234,2456,445.8,71,3%
234,1/11/2024,Google,Display_Remarketing,Cart_Abandoners,136789,512,142.3,15,0%
235,1/12/2024,Google,Search_Brand_Terms,Brand_Exact,25123,1312,250.4,49,5%
236,1/12/2024,Google,Search_Generic_Terms,Product_Broad,46567,912,596.7,24,2%
237,1/12/2024,Google,Shopping_All_Products,Best_Sellers,69890,2334,428.9,66,3%
238,1/12/2024,Google,Display_Remarketing,Cart_Abandoners,133456,489,131.2,14,0%
239,1/13/2024,Google,Search_Brand_Terms,Brand_Exact,22456,1156,220.4,43,5%
240,1/13/2024,Google,Search_Generic_Terms,Product_Broad,41234,823,528.9,21,2%
241,1/13/2024,Google,Shopping_All_Products,Best_Sellers,63456,2089,382.6,60,3%
242,1/13/2024,Google,Display_Remarketing,Cart_Abandoners,119234,434,116.8,12,0%
243,1/14/2024,Google,Search_Brand_Terms,Brand_Exact,21234,1089,207.8,41,5%
244,1/14/2024,Google,Search_Generic_Terms,Product_Broad,39567,789,507.4,19,2%
245,1/14/2024,Google,Shopping_All_Products,Best_Sellers,61890,2012,369.3,58,3%
246,1/14/2024,Google,Display_Remarketing,Cart_Abandoners,115678,412,113.4,11,0%
247,1/15/2024,Google,Search_Brand_Terms,Brand_Exact,23890,1234,235.6,46,5%
248,1/15/2024,Google,Search_Generic_Terms,Product_Broad,43789,856,560.9,22,2%
249,1/15/2024,Google,Shopping_All_Products,Best_Sellers,67234,2234,411.7,65,3%
250,1/15/2024,Google,Display_Remarketing,Cart_Abandoners,128901,467,126.7,13,0%
251,1/16/2024,Google,Search_Brand_Terms,Brand_Exact,25456,1345,257.3,51,5%
252,1/16/2024,Google,Search_Generic_Terms,Product_Broad,45678,901,584.5,24,2%
253,1/16/2024,Google,Shopping_All_Products,Best_Sellers,70123,2378,435.8,69,3%
254,1/16/2024,Google,Display_Remarketing,Cart_Abandoners,132567,489,130.5,14,0%
255,1/17/2024,Google,Search_Brand_Terms,Brand_Exact,26789,1456,278.9,54,5%
256,1/17/2024,Google,Search_Generic_Terms,Product_Broad,47234,967,605.6,25,2%
257,1/17/2024,Google,Shopping_All_Products,Best_Sellers,72456,2489,450.7,72,3%
258,1/17/2024,Google,Display_Remarketing,Cart_Abandoners,138901,534,136.4,15,0%
259,1/18/2024,Google,Search_Brand_Terms,Brand_Exact,25789,1389,265.2,52,5%
260,1/18/2024,Google,Search_Generic_Terms,Product_Broad,46123,923,590.3,24,2%
261,1/18/2024,Google,Shopping_All_Products,Best_Sellers,71567,2412,442.3,70,3%
262,1/18/2024,Google,Display_Remarketing,Cart_Abandoners,135234,501,133.6,14,0%
263,1/19/2024,Google,Search_Brand_Terms,Brand_Exact,24567,1289,246.8,48,5%
264,1/19/2024,Google,Search_Generic_Terms,Product_Broad,44890,890,574.7,23,2%
265,1/19/2024,Google,Shopping_All_Products,Best_Sellers,69234,2301,423.5,67,3%
266,1/19/2024,Google,Display_Remarketing,Cart_Abandoners,131567,478,129.4,13,0%
267,1/20/2024,Google,Search_Brand_Terms,Brand_Exact,22345,1123,214.5,42,5%
268,1/20/2024,Google,Search_Generic_Terms,Product_Broad,40567,812,520.4,20,2%
269,1/20/2024,Google,Shopping_All_Products,Best_Sellers,64890,2067,376.8,59,3%
270,1/20/2024,Google,Display_Remarketing,Cart_Abandoners,124567,445,122.3,12,0%
271,1/21/2024,Google,Search_Brand_Terms,Brand_Exact,21567,1089,207.8,41,5%
272,1/21/2024,Google,Search_Generic_Terms,Product_Broad,38901,778,498.7,19,2%
273,1/21/2024,Google,Shopping_All_Products,Best_Sellers,62345,1989,365.4,57,3%
274,1/21/2024,Google,Display_Remarketing,Cart_Abandoners,118234,423,116.2,11,0%
275,1/22/2024,Google,Search_Brand_Terms,Brand_Exact,24234,1267,241.2,47,5%
276,1/22/2024,Google,Search_Generic_Terms,Product_Broad,42890,845,549.3,22,2%
277,1/22/2024,Google,Shopping_All_Products,Best_Sellers,66789,2223,407.9,64,3%
278,1/22/2024,Google,Display_Remarketing,Cart_Abandoners,127890,456,125.6,13,0%
279,1/23/2024,Google,Search_Brand_Terms,Brand_Exact,25678,1356,259.4,51,5%
280,1/23/2024,Google,Search_Generic_Terms,Product_Broad,45123,912,577.8,24,2%
281,1/23/2024,Google,Shopping_All_Products,Best_Sellers,70234,2389,432.6,69,3%
282,1/23/2024,Google,Display_Remarketing,Cart_Abandoners,133456,489,131.2,14,0%
283,1/24/2024,Google,Search_Brand_Terms,Brand_Exact,27123,1434,274.3,55,5%
284,1/24/2024,Google,Search_Generic_Terms,Product_Broad,47890,978,613.5,26,2%
285,1/24/2024,Google,Shopping_All_Products,Best_Sellers,73456,2501,456.7,73,3%
286,1/24/2024,Google,Display_Remarketing,Cart_Abandoners,139234,523,136.8,15,0%
287,1/25/2024,Google,Search_Brand_Terms,Brand_Exact,28234,1512,287.6,58,5%
288,1/25/2024,Google,Search_Generic_Terms,Product_Broad,49567,1012,634.2,27,2%
289,1/25/2024,Google,Shopping_All_Products,Best_Sellers,75234,2567,467.8,75,3%
290,1/25/2024,Google,Display_Remarketing,Cart_Abandoners,142345,545,139.9,16,0%
291,1/26/2024,Google,Search_Brand_Terms,Brand_Exact,26789,1378,263.4,53,5%
292,1/26/2024,Google,Search_Generic_Terms,Product_Broad,47234,945,605.6,25,2%
293,1/26/2024,Google,Shopping_All_Products,Best_Sellers,72890,2434,450.2,71,3%
294,1/26/2024,Google,Display_Remarketing,Cart_Abandoners,138567,512,136.2,15,0%
295,1/27/2024,Google,Search_Brand_Terms,Brand_Exact,25234,1312,250.3,49,5%
296,1/27/2024,Google,Search_Generic_Terms,Product_Broad,45678,901,584.5,24,2%
297,1/27/2024,Google,Shopping_All_Products,Best_Sellers,70123,2356,431.2,68,3%
298,1/27/2024,Google,Display_Remarketing,Cart_Abandoners,134890,489,132.7,14,0%
299,1/28/2024,Google,Search_Brand_Terms,Brand_Exact,23567,1189,226.8,44,5%
300,1/28/2024,Google,Search_Generic_Terms,Product_Broad,42890,834,549.3,21,2%
301,1/28/2024,Google,Shopping_All_Products,Best_Sellers,66234,2167,395.8,61,3%
302,1/28/2024,Google,Display_Remarketing,Cart_Abandoners,127345,445,125.1,12,0%
303,1/29/2024,Google,Search_Brand_Terms,Brand_Exact,24890,1278,244.2,47,5%
304,1/29/2024,Google,Search_Generic_Terms,Product_Broad,44567,878,570.8,23,2%
305,1/29/2024,Google,Shopping_All_Products,Best_Sellers,68456,2289,419.5,66,3%
306,1/29/2024,Google,Display_Remarketing,Cart_Abandoners,131234,467,128.9,13,0%
307,1/30/2024,Google,Search_Brand_Terms,Brand_Exact,25456,1334,254.6,50,5%
308,1/30/2024,Google,Search_Generic_Terms,Product_Broad,45890,912,587.7,24,2%
309,1/30/2024,Google,Shopping_All_Products,Best_Sellers,70234,2367,432.1,68,3%
310,1/30/2024,Google,Display_Remarketing,Cart_Abandoners,133456,478,131.2,14,0%
311,1/1/2024,TikTok,Awareness_GenZ,Dance_Challenge,234567,3456,456.7,34,1%
312,1/1/2024,TikTok,Conversion_Focus,Product_Demo,123456,2345,678.9,67,2%
313,1/1/2024,TikTok,Traffic_Campaign,Trending_Sounds,189234,2890,345.6,23,2%
314,1/2/2024,TikTok,Awareness_GenZ,Dance_Challenge,245678,3678,478.9,36,1%
315,1/2/2024,TikTok,Conversion_Focus,Product_Demo,134567,2567,712.3,71,2%
316,1/2/2024,TikTok,Traffic_Campaign,Trending_Sounds,198345,3012,361.2,25,2%
317,1/3/2024,TikTok,Awareness_GenZ,Dance_Challenge,223456,3234,434.5,32,1%
318,1/3/2024,TikTok,Conversion_Focus,Product_Demo,112345,2123,623.4,62,2%
319,1/3/2024,TikTok,Influencer_Collab,Creator_Partnership,345678,5678,890.1,89,2%
320,1/4/2024,TikTok,Awareness_GenZ,Dance_Challenge,256789,3890,512.3,39,2%
321,1/4/2024,TikTok,Traffic_Campaign,Trending_Sounds,201234,3123,374.5,26,2%
322,1/4/2024,TikTok,Influencer_Collab,Creator_Partnership,367890,6012,923.4,94,2%
323,1/5/2024,TikTok,Awareness_GenZ,Dance_Challenge,234234,3467,460.2,35,1%
324,1/5/2024,TikTok,Conversion_Focus,Product_Demo,128901,2456,689.5,68,2%
325,1/5/2024,TikTok,Influencer_Collab,Creator_Partnership,356789,5834,901.2,91,2%
326,1/6/2024,TikTok,Awareness_GenZ,Dance_Challenge,267890,3945,523.4,40,1%
327,1/6/2024,TikTok,Traffic_Campaign,Trending_Sounds,205678,3234,387.8,27,2%
328,1/6/2024,TikTok,Influencer_Collab,Creator_Partnership,378901,6123,945.6,96,2%
329,1/7/2024,TikTok,Awareness_GenZ,Dance_Challenge,278901,4123,545.6,42,1%
330,1/7/2024,TikTok,Conversion_Focus,Product_Demo,138901,2678,734.5,73,2%
331,1/7/2024,TikTok,Traffic_Campaign,Trending_Sounds,212345,3345,401.1,28,2%
332,1/8/2024,TikTok,Awareness_GenZ,Dance_Challenge,245234,3578,474.3,37,1%
333,1/8/2024,TikTok,Conversion_Focus,Product_Demo,119234,2234,645.6,64,2%
334,1/8/2024,TikTok,Influencer_Collab,Creator_Partnership,389012,6234,967.8,98,2%
335,1/9/2024,TikTok,Awareness_GenZ,Dance_Challenge,289012,4234,556.7,43,1%
336,1/9/2024,TikTok,Traffic_Campaign,Trending_Sounds,218901,3456,414.4,29,2%
337,1/9/2024,TikTok,Influencer_Collab,Creator_Partnership,401234,6456,989.9,101,2%
338,1/10/2024,TikTok,Awareness_GenZ,Dance_Challenge,256234,3701,490.5,38,1%
339,1/10/2024,TikTok,Conversion_Focus,Product_Demo,145678,2789,756.7,76,2%
340,1/10/2024,TikTok,Traffic_Campaign,Trending_Sounds,223456,3567,427.7,30,2%
341,1/11/2024,TikTok,Awareness_GenZ,Dance_Challenge,278901,4123,523.6,42,1%
342,1/11/2024,TikTok,Conversion_Focus,Product_Demo,156789,3012,812.3,82,2%
343,1/11/2024,TikTok,Traffic_Campaign,Trending_Sounds,234567,3789,456.8,33,2%
344,1/11/2024,TikTok,Influencer_Collab,Creator_Partnership,412345,6789,1023.4,103,2%
345,1/12/2024,TikTok,Awareness_GenZ,Dance_Challenge,267890,3945,501.2,40,1%
346,1/12/2024,TikTok,Conversion_Focus,Product_Demo,148901,2834,767.5,77,2%
347,1/12/2024,TikTok,Traffic_Campaign,Trending_Sounds,228901,3634,441.9,31,2%
348,1/12/2024,TikTok,Influencer_Collab,Creator_Partnership,398567,6534,998.7,98,2%
349,1/13/2024,TikTok,Awareness_GenZ,Dance_Challenge,234567,3456,456.7,34,1%
350,1/13/2024,TikTok,Conversion_Focus,Product_Demo,134567,2567,712.3,71,2%
351,1/13/2024,TikTok,Traffic_Campaign,Trending_Sounds,201234,3123,374.5,26,2%
352,1/13/2024,TikTok,Influencer_Collab,Creator_Partnership,367890,6012,923.4,94,2%
353,1/14/2024,TikTok,Awareness_GenZ,Dance_Challenge,223456,3234,434.5,32,1%
354,1/14/2024,TikTok,Conversion_Focus,Product_Demo,128901,2456,689.5,68,2%
355,1/14/2024,TikTok,Traffic_Campaign,Trending_Sounds,195678,2989,361.2,25,2%
356,1/14/2024,TikTok,Influencer_Collab,Creator_Partnership,356789,5834,901.2,91,2%
357,1/15/2024,TikTok,Awareness_GenZ,Dance_Challenge,246789,3678,478.9,36,1%
358,1/15/2024,TikTok,Conversion_Focus,Product_Demo,142345,2678,734.5,73,2%
359,1/15/2024,TikTok,Traffic_Campaign,Trending_Sounds,212345,3345,401.1,28,2%
360,1/15/2024,TikTok,Influencer_Collab,Creator_Partnership,378901,6123,945.6,96,2%
361,1/16/2024,TikTok,Awareness_GenZ,Dance_Challenge,289012,4234,556.7,43,1%
362,1/16/2024,TikTok,Conversion_Focus,Product_Demo,156789,3012,812.3,82,2%
363,1/16/2024,TikTok,Traffic_Campaign,Trending_Sounds,245678,3890,467.8,34,2%
364,1/16/2024,TikTok,Influencer_Collab,Creator_Partnership,423456,6890,1056.8,107,2%
365,1/17/2024,TikTok,Awareness_GenZ,Dance_Challenge,301234,4456,589.9,46,1%
366,1/17/2024,TikTok,Conversion_Focus,Product_Demo,167890,3234,845.6,85,2%
367,1/17/2024,TikTok,Traffic_Campaign,Trending_Sounds,256789,4012,489.2,36,2%
368,1/17/2024,TikTok,Influencer_Collab,Creator_Partnership,445678,7234,1123.5,113,2%
369,1/18/2024,TikTok,Awareness_GenZ,Dance_Challenge,290123,4189,567.8,44,1%
370,1/18/2024,TikTok,Conversion_Focus,Product_Demo,161234,3089,823.7,83,2%
371,1/18/2024,TikTok,Traffic_Campaign,Trending_Sounds,248901,3934,478.5,35,2%
372,1/18/2024,TikTok,Influencer_Collab,Creator_Partnership,434567,7012,1089.3,109,2%
373,1/19/2024,TikTok,Awareness_GenZ,Dance_Challenge,278901,4123,545.6,42,1%
374,1/19/2024,TikTok,Conversion_Focus,Product_Demo,153456,2945,789.2,79,2%
375,1/19/2024,TikTok,Traffic_Campaign,Trending_Sounds,236789,3734,456.8,33,2%
376,1/19/2024,TikTok,Influencer_Collab,Creator_Partnership,423456,6789,1034.5,104,2%
377,1/20/2024,TikTok,Awareness_GenZ,Dance_Challenge,256234,3701,490.5,38,1%
378,1/20/2024,TikTok,Conversion_Focus,Product_Demo,142345,2678,734.5,73,2%
